id,doc_date,payment_date,direction,doc_type,counterparty,invoice_no,net,vat_rate,gross,vat_treatment,category,source,reverses,note
L2026-0001,2025-12-18,2026-01-17,expense,invoice,Leinenweberei Voss,LEIN-2025-8788,540.15,19.00,642.78,standard,goods,archive/finanzen/2026/eingang/LEIN-2025-8788.pdf,,
L2026-0002,2025-12-20,2026-02-06,income,invoice,Café Morgenrot,RE-2025-181,189.77,0.00,189.77,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2025-181.pdf,,
L2026-0003,2025-12-24,2026-01-23,expense,invoice,Deutsche Post AG,DEUT-2025-2610,29.34,0.00,29.34,exempt,postage,archive/finanzen/2026/eingang/DEUT-2025-2610.pdf,,
L2026-0004,2025-12-26,2026-01-16,expense,invoice,eBay GmbH,EBAY-2025-7941,155.22,0.00,155.22,reverse_charge,fees_marketplace,archive/finanzen/2026/eingang/EBAY-2025-7941.pdf,,
L2026-0005,2025-12-27,2026-01-08,income,invoice,Hofladen Wiese,RE-2025-179,223.05,0.00,223.05,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2025-179.pdf,,
L2026-0006,2026-01-02,2026-01-14,income,invoice,Hofladen Wiese,RE-2026-007,408.61,0.00,408.61,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-007.pdf,,
L2026-0007,2026-01-02,2026-01-05,expense,invoice,Shopify International Ltd.,SHOP-2026-8697,108.79,19.00,129.46,standard,software,archive/finanzen/2026/eingang/SHOP-2026-8697.pdf,,
L2026-0008,2026-01-02,2026-01-03,expense,invoice,Deutsche Post AG,DEUT-2026-7430,81.09,0.00,81.09,exempt,postage,archive/finanzen/2026/eingang/DEUT-2026-7430.pdf,,
L2026-0009,2026-01-04,2026-02-21,income,invoice,Hofladen Wiese,RE-2026-005,375.00,0.00,375.00,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-005.pdf,,
L2026-0010,2026-01-06,2026-01-13,expense,invoice,eBay GmbH,EBAY-2026-1919,335.35,0.00,335.35,reverse_charge,fees_marketplace,archive/finanzen/2026/eingang/EBAY-2026-1919.pdf,,
